set_id,directory,method,normalised,log1p,scaled,time_seconds,absolute,corr_penalty,data_path,dataset,fraction_seed,gene_subset,n,n_pcs,obs_fraction,obs_key,penalty_keys,rankby_abs,seed,variance_scaled
genesets_1_71,.,pca,True,True,True,0.380676360000507,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,10,,,[],,,True
genesets_1_72,.,pca,True,True,False,0.1423019179928815,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,20,,,[],,,True
genesets_1_73,.,pca,True,True,True,0.5531944800022757,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,20,,,[],,,True
genesets_1_74,.,pca,True,True,False,0.1575996989995474,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,30,,,[],,,True
genesets_1_75,.,pca,True,True,True,1.3730445190012688,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,30,,,[],,,True
genesets_1_76,.,DE,True,True,False,10.087704476012732,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,celltype,[],False,,
genesets_1_77,.,random,False,False,False,0.0016011450061341748,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,4166,
genesets_1_78,.,random,False,False,False,0.0015979860036168247,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6098,
genesets_1_79,.,random,False,False,False,0.0017290280084125698,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,4527,
genesets_1_80,.,random,False,False,False,0.0014999960112618282,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7733,
genesets_1_81,.,random,False,False,False,0.002323841006727889,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,8473,
genesets_1_82,.,random,False,False,False,0.001516766002168879,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3857,
genesets_1_83,.,random,False,False,False,0.0017288760136580095,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3970,
genesets_1_84,.,random,False,False,False,0.0016771450027590618,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,5611,
genesets_1_85,.,random,False,False,False,0.0018017760012298822,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3273,
genesets_1_86,.,random,False,False,False,0.00210384200909175,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,5822,
genesets_1_87,.,random,False,False,False,0.0014863880060147494,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,1938,
